concept_id,concept_name,before_mastery,before_gap_level,after_mastery,improvement,after_gap_level
1,Number Systems,50.000000000000014,Weak,80.00000000000001,30.0,Strong
2,Algebraic Expressions,50.000000000000014,Weak,80.00000000000001,30.0,Strong
3,Linear Equations,50.000000000000014,Weak,80.00000000000001,30.0,Strong
4,Ratios and Proportions,50.000000000000014,Weak,80.00000000000001,30.0,Strong
5,Basic Geometry,50.000000000000014,Weak,80.00000000000001,30.0,Strong
6,Quadratic Equations,50.000000000000014,Weak,80.00000000000001,30.0,Strong
7,Functions,50.000000000000014,Weak,80.00000000000001,30.0,Strong
8,Systems of Equations,50.000000000000014,Weak,80.00000000000001,30.0,Strong
9,Trigonometry,50.000000000000014,Weak,80.00000000000001,30.0,Strong
10,Probability,50.000000000000014,Weak,80.00000000000001,30.0,Strong
11,Limits,50.000000000000014,Weak,80.00000000000001,30.0,Strong
12,Derivatives,50.000000000000014,Weak,80.00000000000001,30.0,Strong
13,Integrals,50.000000000000014,Weak,80.00000000000001,30.0,Strong
14,Linear Algebra,50.000000000000014,Weak,80.00000000000001,30.0,Strong
15,Advanced Probability,50.000000000000014,Weak,80.00000000000001,30.0,Strong
16,Measurement and Units,50.000000000000014,Weak,80.00000000000001,30.0,Strong
17,Motion,50.000000000000014,Weak,80.00000000000001,30.0,Strong
18,Forces,50.000000000000014,Weak,80.00000000000001,30.0,Strong
19,Energy,50.000000000000014,Weak,80.00000000000001,30.0,Strong
20,Electricity Basics,50.000000000000014,Weak,80.00000000000001,30.0,Strong
21,Momentum,50.000000000000014,Weak,80.00000000000001,30.0,Strong
22,Work and Power,50.000000000000014,Weak,80.00000000000001,30.0,Strong
23,Circular Motion,50.000000000000014,Weak,80.00000000000001,30.0,Strong
24,Waves,50.000000000000014,Weak,80.00000000000001,30.0,Strong
25,Electric Circuits,50.000000000000014,Weak,80.00000000000001,30.0,Strong
26,Thermodynamics,50.000000000000014,Weak,80.00000000000001,30.0,Strong
27,Electromagnetism,50.000000000000014,Weak,80.00000000000001,30.0,Strong
28,Optics,50.000000000000014,Weak,80.00000000000001,30.0,Strong
29,Modern Physics,50.000000000000014,Weak,80.00000000000001,30.0,Strong
30,Quantum Physics Basics,50.000000000000014,Weak,80.00000000000001,30.0,Strong
31,Computational Thinking,50.000000000000014,Weak,80.00000000000001,30.0,Strong
32,Algorithms,50.000000000000014,Weak,80.00000000000001,30.0,Strong
33,Programming Fundamentals,50.000000000000014,Weak,80.00000000000001,30.0,Strong
34,Data Representation,50.000000000000014,Weak,80.00000000000001,30.0,Strong
35,Computer Systems Basics,50.000000000000014,Weak,80.00000000000001,30.0,Strong
36,Data Structures,50.000000000000014,Weak,80.00000000000001,30.0,Strong
37,Object-Oriented Programming,50.000000000000014,Weak,80.00000000000001,30.0,Strong
38,Database Fundamentals,50.000000000000014,Weak,80.00000000000001,30.0,Strong
39,Computer Networks,50.000000000000014,Weak,80.00000000000001,30.0,Strong
40,Operating Systems Basics,50.000000000000014,Weak,80.00000000000001,30.0,Strong
41,Algorithm Analysis,50.000000000000014,Weak,80.00000000000001,30.0,Strong
42,Advanced Data Structures,50.000000000000014,Weak,80.00000000000001,30.0,Strong
43,Artificial Intelligence Fundamentals,50.000000000000014,Weak,80.00000000000001,30.0,Strong
44,Machine Learning Fundamentals,50.000000000000014,Weak,80.00000000000001,30.0,Strong
45,Computer Architecture,50.000000000000014,Weak,80.00000000000001,30.0,Strong
