concept_id,concept_name,mastery,gap_level,gap_score,prerequisite_gaps,blocked_by_prerequisite
1,Number Systems,50.000000000000014,Weak,49.999999999999986,[],False
2,Algebraic Expressions,50.000000000000014,Weak,49.999999999999986,[1],True
3,Linear Equations,50.000000000000014,Weak,49.999999999999986,[2],True
4,Ratios and Proportions,50.000000000000014,Weak,49.999999999999986,[1],True
5,Basic Geometry,50.000000000000014,Weak,49.999999999999986,[1],True
6,Quadratic Equations,50.000000000000014,Weak,49.999999999999986,[3],True
7,Functions,50.000000000000014,Weak,49.999999999999986,[3],True
8,Systems of Equations,50.000000000000014,Weak,49.999999999999986,[3],True
9,Trigonometry,50.000000000000014,Weak,49.999999999999986,[5],True
10,Probability,50.000000000000014,Weak,49.999999999999986,[1],True
11,Limits,50.000000000000014,Weak,49.999999999999986,[7],True
12,Derivatives,50.000000000000014,Weak,49.999999999999986,[11],True
13,Integrals,50.000000000000014,Weak,49.999999999999986,[12],True
14,Linear Algebra,50.000000000000014,Weak,49.999999999999986,[8],True
15,Advanced Probability,50.000000000000014,Weak,49.999999999999986,[10],True
16,Measurement and Units,50.000000000000014,Weak,49.999999999999986,[],False
17,Motion,50.000000000000014,Weak,49.999999999999986,[16],True
18,Forces,50.000000000000014,Weak,49.999999999999986,[17],True
19,Energy,50.000000000000014,Weak,49.999999999999986,[18],True
20,Electricity Basics,50.000000000000014,Weak,49.999999999999986,[16],True
21,Momentum,50.000000000000014,Weak,49.999999999999986,[18],True
22,Work and Power,50.000000000000014,Weak,49.999999999999986,[19],True
23,Circular Motion,50.000000000000014,Weak,49.999999999999986,[18],True
24,Waves,50.000000000000014,Weak,49.999999999999986,[16],True
25,Electric Circuits,50.000000000000014,Weak,49.999999999999986,[20],True
26,Thermodynamics,50.000000000000014,Weak,49.999999999999986,[19],True
27,Electromagnetism,50.000000000000014,Weak,49.999999999999986,[25],True
28,Optics,50.000000000000014,Weak,49.999999999999986,[24],True
29,Modern Physics,50.000000000000014,Weak,49.999999999999986,[26],True
30,Quantum Physics Basics,50.000000000000014,Weak,49.999999999999986,[29],True
31,Computational Thinking,50.000000000000014,Weak,49.999999999999986,[],False
32,Algorithms,50.000000000000014,Weak,49.999999999999986,[31],True
33,Programming Fundamentals,50.000000000000014,Weak,49.999999999999986,[31],True
34,Data Representation,50.000000000000014,Weak,49.999999999999986,[31],True
35,Computer Systems Basics,50.000000000000014,Weak,49.999999999999986,[31],True
36,Data Structures,50.000000000000014,Weak,49.999999999999986,"[32, 33]",True
37,Object-Oriented Programming,50.000000000000014,Weak,49.999999999999986,[33],True
38,Database Fundamentals,50.000000000000014,Weak,49.999999999999986,[33],True
39,Computer Networks,50.000000000000014,Weak,49.999999999999986,[35],True
40,Operating Systems Basics,50.000000000000014,Weak,49.999999999999986,[35],True
41,Algorithm Analysis,50.000000000000014,Weak,49.999999999999986,[36],True
42,Advanced Data Structures,50.000000000000014,Weak,49.999999999999986,"[36, 41]",True
43,Artificial Intelligence Fundamentals,50.000000000000014,Weak,49.999999999999986,"[32, 36]",True
44,Machine Learning Fundamentals,50.000000000000014,Weak,49.999999999999986,[43],True
45,Computer Architecture,50.000000000000014,Weak,49.999999999999986,"[35, 40]",True
